Group;Experiment;Problem Space;Samples;Iterations;Failure;Baseline;us/Iteration;Iterations/sec;Min (us);Mean (us);Max (us);Variance;Standard Deviation;Skewness;Kurtosis;Z Score
Dgemm;MKL;2;30;100;0;1;0,29;3448280;29;29,1333;30;0,11954;0,345746;2,15728;2,65385;0,38564
Dgemm;MKL;3;30;100;0;1;0,3;3333330;30;30,9667;31;0,0333333;0,182574;-5,19947;25,0345;5,29465
Dgemm;MKL;4;30;100;0;1;0,28;3571430;28;28,8667;29;0,11954;0,345746;-2,15728;2,65385;2,50666
Dgemm;MKL;5;30;100;0;1;0,35;2857140;35;35,9;53;11,1276;3,3358;4,73732;21,664;0,2698
Dgemm;MKL;6;30;100;0;1;0,37;2702700;37;42;72;58,4828;7,6474;2,84473;7,59811;0,653817
Dgemm;MKL;7;30;100;0;1;0,44;2272730;44;44,5;52;2,18966;1,47975;4,54621;20,5542;0,337895
Dgemm;MKL;8;30;100;0;1;0,39;2564100;39;39,6667;40;0,229885;0,479463;-0,707107;-1,5;1,39044
Dgemm;MKL;9;30;100;0;1;0,59;1694920;59;60,2;75;8,02759;2,8333;4,97464;23,5688;0,423534
Dgemm;MKL;10;30;100;0;1;0,58;1724140;58;59,2333;93;40,7368;6,38254;5,18652;24,9464;0,193236
Dgemm;MKL;20;30;100;0;1;0,67;1492540;67;90,5;138;908,534;30,1419;0,863528;-1,15134;0,779645
Dgemm;MKL;30;30;100;0;1;1,6;625000;160;161;165;0,758621;0,870988;3,18477;13,2397;1,14812
Dgemm;MKL;40;30;100;0;1;3,07;325733;307;319;422;598,345;24,4611;3,21877;9,61951;0,490575
Dgemm;MKL;50;30;100;0;1;4,1;243902;410;461,267;626;4198,41;64,7951;1,15897;0,0797624;0,791212
Dgemm;MKL;60;30;100;0;1;4,78;209205;478;493,6;726;2379,08;48,7758;4,11053;16,1099;0,319831
Dgemm;MKL;70;30;100;0;1;6,57;152207;657;699,667;1009;9684,02;98,4074;2,55278;4,78859;0,433572
Dgemm;MKL;80;30;100;0;1;7,66;130548;766;833,9;1346;22111,3;148,699;2,47486;4,80149;0,456628
Dgemm;MKL;90;30;100;0;1;10,92;91575,1;1092;1158,5;1665;25127,6;158,517;2,56768;4,97261;0,419513
Dgemm;MKL;100;30;25;0;1;15,4;64935,1;385;396,967;531;989,482;31,456;3,26978;9,99184;0,380425
Dgemm;MKL;200;30;25;0;1;375,08;2666,1;9377;9570,77;10540;45279,4;212,79;3,24815;12,522;0,910602
Dgemm;MKL;300;30;25;0;1;1176,32;850,109;29408;30808,8;35922;1361870;1166,99;2,76077;10,4186;1,20035
Dgemm;MKL;400;30;25;0;1;2610,08;383,13;65252;65890,1;73676;2216360;1488,75;4,99927;23,6914;0,428638
Dgemm;MKL;500;30;25;0;1;4995,08;200,197;124877;127531;133848;3157350;1776,89;1,77598;3,83181;1,49353
Dgemm;MKL;600;30;25;0;1;8633,28;115,831;215832;221218;230456;15190800;3897,54;0,677784;0,0539989;1,38184
Dgemm;MKL;700;30;25;0;1;13458,3;74,3035;336458;347126;377182;129309000;11371,4;1,16061;0,525454;0,938144
Dgemm;MKL;800;30;25;0;1;20241,6;49,4032;506040;516851;539228;133744000;11564,8;0,807502;-0,930429;0,934853
Dgemm;MKL;900;30;25;0;1;28286,4;35,3527;707159;717269;763608;176003000;13266,6;1,96103;3,67874;0,762085
Dgemm;MKL;1000;30;5;0;1;39538,4;25,2919;197692;200515;207702;7304960;2702,77;1,5145;0,856027;1,04431
Dgemm;MKL;2000;30;5;0;1;318389;3,14081;1591945;1689360;1730871;1122140000;33498,3;-1,15842;0,967225;2,90794
Dgemm;MKL;3000;30;5;0;1;982736;1,01757;4913679;5410710;5636623;30101700000;173498;-2,30163;4,01089;2,86477
Dgemm;MKL;4000;30;5;0;1;2545270;0,392886;12726350;12774100;12921986;2078760000;45593,4;1,40963;1,87854;1,04808
Dgemm;MKL;5000;30;5;0;1;5021370;0,199149;25106843;25213900;25810520;15296200000;123678;3,84453;16,4057;0,865672
Dgemm;MKL;6000;30;5;0;1;8697790;0,114972;43488961;43998800;45176324;127964000000;357720;1,26973;2,24221;1,42527
Dgemm;MKL;7000;30;5;0;1;13633100;0,0733509;68165481;68492400;69469383;76324400000;276269;2,27008;5,18985;1,18326
Dgemm;MKL;8000;30;5;0;1;20135400;0,0496638;100676972;101026000;101703183;48420500000;220047;1,18964;2,0208;1,58721
Dgemm;MKL;9000;30;5;0;1;28610200;0,0349526;143050841;143512000;144830677;134609000000;366891;2,03468;4,28924;1,25642
Dgemm;CMatrix;2;30;100;0;1,7931;0,52;1923080;52;53,3333;54;0,436782;0,660895;-0,45899;-0,714681;2,01747
Dgemm;CMatrix;3;30;100;0;1,93333;0,58;1724140;58;59,5;70;4,18966;2,04686;4,69912;21,7257;0,732828
Dgemm;CMatrix;4;30;100;0;2,5;0,7;1428570;70;74,7333;134;127,582;11,2952;5,0502;24,0448;0,419057
Dgemm;CMatrix;5;30;100;0;2,22857;0,78;1282050;78;80,5333;90;4,11954;2,02967;3,39889;14,1123;1,24815
Dgemm;CMatrix;6;30;100;0;2,24324;0,83;1204820;83;86,1333;105;14,6023;3,8213;4,19521;18,2737;0,819966
Dgemm;CMatrix;7;30;100;0;2,27273;1;1000000;100;105,267;183;216,892;14,7273;5,14766;24,689;0,357614
Dgemm;CMatrix;8;30;100;0;2,76923;1,08;925926;108;110,167;114;1,59195;1,26173;0,519948;1,32724;1,71722
Dgemm;CMatrix;9;30;100;0;2,10169;1,24;806452;124;125,833;129;1,66092;1,28877;0,511569;-0,339292;1,42255
Dgemm;CMatrix;10;30;100;0;2,43103;1,41;709220;141;147,067;158;13,2368;3,63824;0,885002;0,921527;1,66747
Dgemm;CMatrix;20;30;100;0;6,46269;4,33;230947;433;435;440;2,27586;1,5086;1,71615;3,40496;1,32574
Dgemm;CMatrix;30;30;100;0;5,9875;9,58;104384;958;962,033;991;44,654;6,68237;3,22608;10,5517;0,603579
Dgemm;CMatrix;40;30;100;0;6,25081;19,19;52110,5;1919;1925,13;1976;100,12;10,006;4,5719;20,8494;0,612967
Dgemm;CMatrix;50;30;100;0;7,46098;30,59;32690,4;3059;3068,03;3112;80,9989;8,99994;4,01305;17,4065;1,00371
Dgemm;CMatrix;60;30;100;0;9,17992;43,88;22789,4;4388;4397,93;4472;292,271;17,0959;3,5468;11,6332;0,581035
Dgemm;CMatrix;70;30;100;0;9,15068;60,12;16633,4;6012;6021,2;6067;85,0621;9,22291;4,25504;18,7643;0,997516
Dgemm;CMatrix;80;30;100;0;10,047;76,96;12993,8;7696;7704,63;7751;95,6195;9,77852;3,71139;15,1602;0,882887
Dgemm;CMatrix;90;30;100;0;8,84707;96,61;10350,9;9661;9670;9741;191,517;13,839;4,70101;21,733;0,650337
Dgemm;CMatrix;100;30;25;0;9,30649;143,32;6977,39;3583;3627,83;3683;911,178;30,1857;0,198166;-1,00757;1,48525
Dgemm;CMatrix;200;30;25;0;2,30532;864,68;1156,5;21617;21988,2;22585;45618,6;213,585;0,609893;0,495691;1,73795
Dgemm;CMatrix;300;30;25;0;2,36279;2779,4;359,79;69485;69991,3;73901;576570;759,322;4,75409;22,0907;0,666779
Dgemm;CMatrix;400;30;25;0;2,10947;5505,88;181,624;137647;138161;142449;1048880;1024,15;3,46337;10,7709;0,502174
Dgemm;CMatrix;500;30;25;0;2,00565;10018,4;99,8167;250459;251539;255296;2479670;1574,7;1,53154;0,54114;0,685826
Dgemm;CMatrix;600;30;25;0;1,8218;15728,1;63,5806;393202;396187;400618;6513060;2552,07;0,544022;-1,44497;1,16964
Dgemm;CMatrix;700;30;25;0;1,93722;26071,7;38,3557;651793;654543;660046;7537810;2745,51;0,73386;-0,90009;1,00156
Dgemm;CMatrix;800;30;25;0;1,91558;38774,4;25,7902;969359;974603;980694;11293800;3360,63;0,167085;-1,43099;1,56044
Dgemm;CMatrix;900;30;25;0;1,68949;47789,5;20,9251;1194737;1279230;1308418;735490000;27119,9;-1,21777;1,25991;3,11559
Dgemm;CMatrix;1000;30;5;0;1,59029;62877,4;15,904;314387;345365;361591;93649700;9677,28;-1,21385;2,0059;3,20112
Dgemm;CMatrix;2000;30;5;0;1,49261;475231;2,10424;2376156;2398440;2448775;313031000;17692,7;1,11083;0,752657;1,25962
Dgemm;CMatrix;3000;30;5;0;1,56384;1536840;0,650686;7684201;7712750;7766277;179088000;13382,4;1,83868;7,11052;2,13357
Dgemm;CMatrix;4000;30;5;0;1,3267;3376810;0,296138;16884034;16968100;17026042;1100610000;33175,5;-0,551328;-0,0147405;2,53416
Dgemm;CMatrix;5000;30;5;0;1,25525;6303060;0,158653;31515324;31607900;31832140;6000780000;77464,7;1,46561;1,51609;1,19468
Dgemm;CMatrix;6000;30;5;0;1,2167;10582600;0,0944947;52913033;53318200;54345032;89327000000;298876;1,98701;4,37333;1,3556
Dgemm;CMatrix;7000;30;5;0;1,20144;16379400;0,0610522;81897070;82145700;82881604;44464800000;210867;1,699;3,37318;1,17902
Dgemm;CMatrix;8000;30;5;0;1,18437;23847800;0,0419325;119239242;119559000;119828406;22182400000;148938;-0,211288;-0,712716;2,14388
Dgemm;CMatrix;9000;30;5;0;1,16477;33324300;0,0300081;166621599;167166000;167871012;88954500000;298252;0,31222;-0,519457;1,8264
